url,status,PageRank
https://www.313presents.com/,legitimate,4
https://wpmudev.com/blog/find-wordpress-login/,legitimate,5
http://www.xinhuanet.com/english/2020-12/23/c_139614034.htm,legitimate,5
https://www.bancoestado.cl/imagenes/_personas/centro-de-ayuda.asp,legitimate,4
https://support.avg.com/SupportArticleView?l=en&urlname=Remove-AVG-Antivirus-password,legitimate,4
https://login.xfinity.com/login,legitimate,4
https://www.easyjet.com/en/bistro-boutique,legitimate,5
https://people.yellowpages.com/whitepages/phone-lookup,legitimate,3
https://www.hsn.com/,legitimate,5
https://portal.deepinstinct.com/user/login,legitimate,2
https://apply07.grants.gov/apply/login.faces,legitimate,4
https://www.novirusthanks.org/products/mac-address-changer/,legitimate,4
https://www.mattressclarity.com/reviews/best-mattress-heavy-people/,legitimate,4
https://www.foreignaffairs.com/articles/turkey/2014-04-17/how-kurds-got-their-way,legitimate,6
https://rsmus.com/what-we-do/industries/real-estate/ownership-requirements-of-reits.html,legitimate,4
https://www.usaid.gov/sri-lanka/newsroom,legitimate,5
https://forum.huawei.com/enterprise/en/forget-my-gmail-password/thread/568865-883,legitimate,4
https://nscverifications.org/,legitimate,4
https://www.appcues.com/blog/gradual-engagement-mobile-app-first-screen,legitimate,4
https://logincontrol.en.softonic.com/,legitimate,0
https://www.projetex.com/order-translation-project-management-tool/more-workstations/,legitimate,3
https://www.wsbradio.com/traffic/,legitimate,5
https://webmail.uzh.ch/,legitimate,3
https://sedinnhotel.ru/en/requisites/,legitimate,1
https://www.hdsentinel.com/,legitimate,5
http://www.10bestprint.com/companies/wood/,legitimate,2
https://hipertextual.com/2018/10/google-translate-tu-sitio-web,legitimate,5
https://mucog.ru/en/kak-sdelat-vhod-v-vatsap-s-parolem-zashchishchaem-parolem-messendzher-whatsapp-v/,legitimate,1
https://www.modstore.aero/,legitimate,3
https://quickemailverification.com/login,legitimate,5
https://www.streamingmediaglobal.com/magazine/,legitimate,5
https://account.ubisoft.com/,legitimate,4
https://www.srilankainstyle.com/experience/tastes-and-tales-of-jaffna,legitimate,4
http://www.globalvoicesim.com/blog,legitimate,0
https://animaljam.fandom.com/wiki/Membership,legitimate,3
https://frenkelscalculator.com/Account/Login,legitimate,1
https://calculator.aws/,legitimate,4
http://beach-bars.focus.tv/Business/Hardware_Store_Restaurant/,legitimate,0
https://landoflinux.com/linux_firewall_cmd_config.html,legitimate,3
https://www.imedpub.com/scholarly/dietary-habits-journals-articles-ppts-list.php,legitimate,4
https://www.simplyrecipes.com/recipes/eggplant_green_curry/,legitimate,5
https://www.mymemory.ie/memory/data-storage/usb-flash-drives.html,legitimate,2
https://secure.smugmug.com/login,legitimate,4
https://polcode.com/blog/pokemon-go-didnt-start-it-all-augmented-reality-for-ecommerce-2/,legitimate,3
https://www.pitbulltax.com/login.html,legitimate,3
https://ao.com/,legitimate,5
https://www.shodan.io/,legitimate,5
https://www.physicsforums.com/threads/how-to-calculate-tension-compression-in-a-truss-bridge-diagram-shown.358790/,legitimate,5
https://infocellar.com,legitimate,4
https://hundredhousecoffee.com/products/nom-nom,legitimate,4
https://www.youronlinechoices.com/uk/opt-out-help,legitimate,6
https://www.cs.colostate.edu/helpdocs/ftp.html,legitimate,5
http://finlitproject.com/simulator/demo,legitimate,2
https://superrepo.org/kodi/addon/plugin.video.stalker-rip,legitimate,4
https://whatsapp-business.en.uptodown.com/android,legitimate,2
http://www.cabinweb.com/menu/iowa/iowa.htm,legitimate,2
https://survivetheark.com/index.php?/forums/topic/74372-swamp-cave-gas-mask/,legitimate,4
https://www.videojet.com/us/homepage/applications/printing-on-plastic-and-rubber-parts.html,legitimate,3
https://www.onlinelinguisticdatabase.org/,legitimate,3
https://desk-net.com/login.htm,legitimate,4
https://wiki.mozilla.org/IRC,legitimate,6
https://www.bitmat.it/blog/news/100306/libero-pay-pagamenti-con-pochi-click-per-gli-utenti-libero-mail,legitimate,4
https://www.lovehomeswap.com/how-it-works,legitimate,4
https://www.accountancydaily.co/psc-register-fatal-flaw-undermines-transparency,legitimate,4
https://www.knowbe4.com/,legitimate,5
https://www.jnj.com/corporate/privacy-policy,legitimate,5
